,paperid,citedbypapers,citedbypatents
0,2130579102,1,0
1,1561171833,1,0
2,2282687823,1,0
3,2218123956,1,0
4,2013489329,4,0
5,99934989,1,0
6,2067881721,1,0
7,1976024593,10,0
8,2082665924,1,0
9,2018938123,1,0
10,2152965555,3,0
11,18952917,2,0
12,2157492339,1,0
13,1493993198,1,0
14,2086430431,7,5
15,2164124780,1,0
16,11538257,1,0
17,2018715826,7,0
18,2050645665,7,9
19,2055075080,1,0
20,615551533,1,0
21,2155788121,1,0
22,2160815625,2,0
23,2014215901,27,7
24,2288911029,1,0
25,2169416404,1,0
26,2038944285,1,0
27,2462608500,2,0
28,1966445952,1,0
29,2021541806,1,0
30,157973413,1,0
31,1740041947,1,0
32,2267786297,2,0
33,2060666149,5,0
34,1590806791,3,0
35,2081073913,1,0
36,2054682961,1,0
37,2111021484,1,0
38,1791762382,10,0
39,2152230805,72,55
40,2058375342,4,0
41,2175631742,1,0
42,2308138583,1,0
43,2114977140,12,1
44,2064979825,1,0
45,2081238591,1,0
46,2046911213,2,0
47,1973921862,1,0
48,2158607384,1,0
49,2051314392,2,0
50,2045343445,1,0
51,15066456,1,0
52,38568571,1,0
53,2006817612,1,0
54,2532381144,1,0
55,2084595050,15,4
56,1967316521,1,0
57,1984187759,1,0
58,2031793755,29,22
59,1535307796,1,0
60,2010073889,1,0
61,1980808413,5,55
62,1525314383,1,0
63,2011319041,3,0
64,2168820371,1,0
65,2095998513,3,0
66,1974437699,1,0
67,2083872334,1,0
68,2090254904,1,0
69,2028301086,1,0
70,1604739033,1,0
71,1973745650,1,0
72,2072758279,18,18
73,2038935224,1,0
74,1510564372,1,0
75,2102712675,2,0
76,2065974274,1,0
77,2465899879,1,0
78,1997252335,1,0
79,2151583791,1,0
80,2089305039,2,0
81,2026773371,1,0
82,2075220720,2,0
83,2057375964,1,0
84,1978235861,6,0
85,1978665295,1,0
86,1566193143,1,0
87,1995776587,1,0
88,2059469850,1,0
89,2049928807,1,0
90,2077338870,1,0
91,2149706766,1,0
92,2003940193,1,0
93,2003849625,1,0
94,2020796004,11,0
95,2083357144,1,0
96,1558737139,1,0
97,2057913402,12,0
98,2157627164,1,0
99,2373570000,1,0
100,2038369705,1,0
101,2010941193,1,0
102,1993430398,1,0
103,177306316,2,0
104,77580242,2,0
105,2103905489,1,0
106,2290368613,1,0
107,2111782578,1,0
108,2087768903,1,0
109,2169565450,1,0
110,2097430405,1,0
111,36533030,4,0
112,2119186014,1,0
113,2167482691,2,0
114,2054735996,1,0
115,2086295985,1,0
116,1963713162,1,0
117,2118666518,2,0
118,2111721792,1,0
119,2134342348,8,0
120,2142085861,1,0
121,86365641,1,0
122,2295880597,1,0
123,2130675236,1,0
124,2130318492,1,0
125,2077389465,79,0
126,2165456268,1,0
127,1991701776,12,3
128,1992615525,2,0
129,1587166076,1,0
130,1550709748,1,0
131,2000617596,1,0
132,1537526465,1,0
133,2041016355,1,0
134,2034926121,1,0
135,2002357891,1,0
136,2138489340,1,0
137,2415549502,1,1
138,2626643127,1,0
139,126514359,2,0
140,2032837934,1,0
141,2247810280,1,0
142,2119394710,1,0
143,2157837521,1,0
144,2139498370,1,0
145,200463603,2,0
146,137864573,1,0
147,2293769110,71,18
148,1968058875,1,0
149,2114553625,1,0
150,1486572897,1,0
151,2011203795,1,0
152,2083580984,1,0
153,1573700373,1,0
154,2147160178,1,0
155,1999778833,1,0
156,2110641362,21,8
157,2105644481,1,0
158,2163292664,1,0
159,1997062464,1,0
160,2085362422,1,0
161,1934209032,1,0
162,1967117582,1,0
163,2043055895,1,0
164,2153033399,1,0
165,2169783907,1,0
166,122145281,1,0
167,2170741935,1,0
168,1971726464,1,0
169,634314891,1,0
170,1555281794,1,0
171,2042014343,1,0
172,2036892460,5,4
173,2154267672,2,0
174,1950788856,1,0
175,1963571527,1,0
176,2207655504,1,0
177,2096607457,12,0
178,328853007,1,0
179,2144923054,1,0
180,2161737169,1,0
181,1994281102,3,0
182,2054303485,1,0
183,198541907,1,0
184,2050427684,48,3
185,2029201173,5,3
186,2121180519,1,0
187,4267876,1,0
188,39521499,2,0
189,2209204668,17,0
190,2047255713,3,0
191,1988125676,5,1
192,2179723638,1,0
193,1996212617,45,35
194,2012895915,29,7
195,1975778640,1,0
196,1755205674,2,0
197,2146105230,3,0
198,2124961859,1,0
199,2026396069,1,0
200,2074008326,2,0
201,1512647879,1,0
202,2157258520,1,0
203,2112779958,1,0
204,2174527982,1,0
205,1995033727,27,1
206,2095362574,1,0
207,2197659821,1,0
208,2063549868,2,0
209,1480730167,2,0
210,1497256448,1,0
211,2125528791,1,0
212,2156336254,5,0
213,2130812989,1,0
214,2544344441,1,0
215,2099363936,12,0
216,2020253149,1,0
217,2052006268,14,18
218,188603623,1,0
219,2129878062,1,0
220,2142423074,1,0
221,2035101709,1,0
222,181330260,1,0
223,146169820,1,0
224,1982789685,1,0
225,2140539195,1,0
226,2106684257,1,0
227,85720322,1,0
228,1845382878,4,0
229,2616560569,1,0
230,2047221353,1,0
231,2109323721,1,0
232,2504943395,1,0
233,1965985440,1,0
234,1973696091,1,0
235,2090509708,1,0
236,1639032689,1,0
237,124967511,1,0
238,1574541842,1,0
239,2296392265,1,0
240,2052417512,1,0
241,1507019847,1,0
242,2127173649,1,0
243,22288433,1,0
244,2059913822,101,20
245,1996750290,2,0
246,2112565951,2,0
247,2044163769,3,0
248,2153054042,4,0
249,1580590568,1,0
250,1990393707,1,0
251,2021609330,1,0
252,2610440952,1,0
253,112516994,1,0
254,2103111128,1,0
255,1996688648,1,0
256,2130431741,1,0
257,2139490115,19,4
258,1990157444,2,0
259,2027253226,22,0
260,2744524433,1,0
261,2152737814,1,0
262,2090031661,2,0
263,2101726980,1,0
264,2085338489,11,7
265,2114683127,13,4
266,1971968197,1,0
267,2059942088,1,0
268,2081100812,1,0
269,2110915807,2,0
270,1994573369,1,0
271,2080901110,1,0
272,2077178139,2,0
273,1528943550,1,0
274,2171501075,2,0
275,2039239232,2,0
276,2057516087,1,0
277,1982628262,2,0
278,2030171418,1,0
279,2055939827,1,0
280,2469784314,1,0
281,2034511459,1,0
282,2170342776,1,0
283,1495709212,1,0
284,1553932545,1,0
285,2098581201,2,0
286,117821240,1,0
287,2171990274,1,0
288,2159870644,1,0
289,2170146217,1,0
290,2145511322,1,0
291,2044445163,1,0
292,2110180100,10,12
293,2107802025,13,1
294,2136404418,5,0
295,2120725061,1,0
296,2051493940,6,0
297,2095210619,2,0
298,2127544967,2,0
299,2070845553,1,0
300,2130019578,1,0
301,2006438786,1,0
302,2094265723,21,1
303,1976476643,1,0
304,2103669739,1,0
305,2000964990,2,0
306,2068025371,1,0
307,2072177878,28,19
308,2111762726,1,0
309,2154379589,1,0
310,2133797163,1,0
311,798779268,1,0
