,paperid,citedbypapers,citedbypatents
0,2114212018,8,0
1,1511827303,1,0
2,2119234355,1,0
3,2088938196,1,0
4,2008942963,1,0
5,234230111,1,0
6,2084124670,1,0
7,2287908689,1,0
8,2108735111,1,0
9,2066756110,1,0
10,2163059462,1,0
11,2057145757,1,0
12,2103098371,1,0
13,2296181455,1,0
14,2163067739,17,0
15,1492651720,1,0
16,2144617999,1,0
17,163470555,1,0
18,2004669996,2,0
19,1574451115,1,0
20,394657359,1,0
21,2018643010,2,0
22,1595324694,1,0
23,653728100,1,0
24,2745806554,2,0
25,2146304342,1,0
26,1493993198,6,0
27,2084997682,1,0
28,2067693115,1,0
29,1994374769,1,0
30,1493955713,1,0
31,2141199598,1,0
32,2090762886,1,0
33,2121079875,1,0
34,32829792,1,0
35,42375329,1,0
36,2128954165,2,0
37,1996636074,1,0
38,1849147424,2,0
39,1491257626,1,0
40,2121742134,1,0
41,2111126915,1,0
42,140883269,1,0
43,69509063,3,0
44,1996593243,1,0
45,28822479,1,0
46,1605701154,2,0
47,2109533716,1,0
48,622048224,2,0
49,2120594672,1,0
50,1516346799,1,0
51,2123249092,1,0
52,2138143267,1,0
53,1993715838,1,0
54,1971604028,1,0
55,1558219029,3,0
56,1600948379,1,0
57,2010412453,1,0
58,199008915,1,0
59,2091292951,4,0
60,1998065338,3,0
61,1721649461,3,0
62,1991043863,14,0
63,2012640824,1,0
64,2087756551,1,0
65,2039107658,1,0
66,2116147226,7,0
67,2132181126,1,0
68,2094561398,1,0
69,1773440208,1,0
70,2105562595,3,0
71,1924655545,1,0
72,1964178158,1,0
73,2042123098,1,0
74,1973462736,1,0
75,1980474996,1,0
76,2611005337,1,0
77,1933657216,2,0
78,2011596968,1,0
79,194326022,1,0
80,108224844,1,0
81,41490514,1,0
82,2094783029,1,0
83,2042037135,1,0
84,2004178110,1,0
85,1863164099,1,0
86,127232725,1,0
87,2165237687,1,0
88,1995399706,1,0
89,1976024593,1,0
90,1973638302,1,0
91,1973674505,1,0
92,2057004575,1,0
93,2007473529,9,0
94,2023156075,1,0
95,1556769229,1,0
96,2556132777,1,0
97,2101815468,1,0
98,2019443495,1,0
99,1771778945,1,0
100,1977928963,1,0
101,1535556365,1,0
102,2041593403,106,5
103,1974975426,1,0
104,2464843211,1,0
105,2135584693,2,0
106,1579856846,2,0
107,2006622983,3,0
108,2157671835,137,0
109,2070995286,1,0
110,1969646775,1,0
111,2165891843,1,0
112,2114706622,1,0
113,2032463426,1,0
114,1979011152,1,0
115,2092081124,3,0
116,2008065555,1,0
117,98785974,1,0
118,1588111661,1,0
119,2053724458,1,0
120,2004044491,12,0
121,637207067,1,0
122,2090804564,1,0
123,2019520225,1,0
124,2093880573,37,0
125,2150094159,2,0
126,2099521584,5,0
127,2130344546,1,0
128,2025454319,2,0
129,1973905217,2,0
130,2022523455,1,0
131,2006759927,4,0
132,2020137493,1,0
133,2165802030,1,0
134,2088293866,1,0
135,1988573789,1,0
136,2160590935,1,0
137,2050731102,1,0
138,26203047,1,0
139,2294262738,2,0
140,2126833588,2,0
141,2100934737,6,0
142,2093879400,1,0
143,1987986834,1,0
144,2170174559,2,0
145,2088660251,1,0
146,2046284411,1,0
147,2040516461,2,0
148,2044120881,2,0
149,2010793906,1,0
150,1994916601,2,0
151,2134021902,1,0
152,2139041794,1,0
153,1482229123,1,0
154,2036111784,1,0
155,2040963510,1,0
156,2144398219,1,0
157,115100454,1,0
158,2124324682,5,0
159,2126848186,1,0
160,2284495890,1,0
161,2011319041,1,0
162,2161663460,1,0
163,1986760411,1,0
164,2098055897,1,0
165,2087987354,1,0
166,2168821532,1,0
167,2062199894,2,0
168,118936384,1,0
169,1979296086,10,0
170,1966598338,1,0
171,2068892179,1,0
172,2037451280,1,0
173,2035864881,1,0
174,2050844447,1,0
175,1526697001,1,0
176,2145375776,1,0
177,2037717074,6,0
178,2154876275,234,0
179,2034703056,1,0
180,2093793358,1,0
181,2158505390,1,0
182,159729907,2,0
183,2029721607,1,0
184,2095687160,1,0
185,48536585,1,0
186,2131399871,2,0
187,1602493514,1,0
188,52169070,3,0
189,200006786,1,0
190,2045416740,1,0
191,2127279174,6,0
192,2064780509,70,4
193,2016484035,1,0
194,564197573,1,0
195,1947306810,1,0
196,2051015447,1,0
197,2130657842,1,0
198,2148955679,1,0
199,2067148248,2,0
200,2313188817,1,0
201,49214276,1,0
