,paperid,citedbypapers,citedbypatents
0,2116521099,4,0
1,286268058,1,0
2,1985374156,1,0
3,2128383376,8,0
4,2118678035,1,0
5,2163067739,1,0
6,2018917889,1,0
7,2030420183,1,0
8,2117173769,1,0
9,2032366757,3,0
10,1584558952,2,0
11,2038435906,1,0
12,2225646927,1,0
13,2039230202,1,0
14,2008213332,1,0
15,2121079875,1,0
16,2071012563,8,0
17,2275889908,2,0
18,2054080977,1,0
19,2100633429,1,0
20,2013887309,1,0
21,2059218553,1,0
22,2121742134,3,0
23,2139091702,1,0
24,2002557727,4,0
25,2171106563,1,0
26,4005180,7,0
27,2048588823,3,0
28,1506842418,1,0
29,2041817211,1,0
30,2109267606,1,0
31,2005855135,13,0
32,2118901561,1,0
33,2221307389,6,0
34,1983902252,1,0
35,2102072895,26,4
36,2169416404,1,0
37,2108290602,45,0
38,2114589588,1,0
39,2069865428,1,0
40,2158019650,1,0
41,1991043863,3,0
42,2250629460,1,0
43,2611756113,1,0
44,2133571633,2,0
45,2560149148,1,0
46,2146669294,1,0
47,2137354906,1,0
48,70631800,22,2
49,2113856781,1,0
50,1801174580,1,0
51,2142824220,1,0
52,1933657216,15,0
53,2028471868,7,0
54,1987921881,1,0
55,2118650961,1,0
56,2012969937,2,0
57,2067881721,1,0
58,1975016232,1,0
59,2094659717,5,0
60,114732809,1,0
61,1976024593,2,0
62,2058375342,3,0
63,2100926843,1,0
64,1966186971,1,0
65,2061059521,3,0
66,202553862,1,0
67,2006622983,7,0
68,1635313473,1,0
69,1573431649,3,0
70,2064979825,1,0
71,2146949011,1,0
72,1979011152,1,0
73,1980567103,20,0
74,2022166711,1,0
75,1971172326,1,0
76,2046774790,22,3
77,1607316980,1,0
78,2164195241,1,0
79,1986805195,1,0
80,1969983719,16,0
81,2020772911,1,0
82,1980072277,2,0
83,2159814545,1,0
84,2165802030,1,0
85,2163444123,31,1
86,1522386725,1,0
87,2093519250,1,0
88,2084595050,2,0
89,2065993736,1,0
90,2168231598,28,4
91,2047322855,2,0
92,1558283668,1,0
93,2092719662,7,0
94,1999037825,1,0
95,2046773075,1,0
96,132028353,10,0
97,115783410,1,0
98,2143471387,36,14
99,2299300097,1,0
100,207630151,1,0
101,2064919653,8,0
102,2020198989,9,0
103,2345492872,3,0
104,2084703098,3,0
105,2055953527,2,0
106,2007739699,5,0
107,2158943277,4,0
108,75115461,2,0
109,2036699880,10,0
110,2015474346,1,0
111,1528909329,1,0
112,1607062307,1,0
113,1902345364,1,0
114,2036625316,198,13
115,2039205211,13,0
116,70192580,1,0
117,118009016,1,0
118,2568216524,2,0
119,2148087328,1,0
120,2094163178,17,1
121,2017199092,25,0
122,2406694909,2,0
123,2095192294,1,0
124,2090601392,8,2
125,2263575537,1,0
126,2154294607,4,0
127,2042597440,2,0
128,2032033784,10,3
129,1975846078,1,0
130,2165779726,6,0
131,1999296588,1,0
132,1978235861,6,0
133,2075165146,1,0
134,2137472693,1,0
135,2086102560,1,0
136,2064374730,3,0
137,2098181699,1,0
138,2116044718,1,0
139,2114576632,2,0
140,2009394805,1,0
141,2293702508,3,4
142,2058313710,1,0
143,652061993,1,0
144,579366055,1,0
145,2134807463,1,0
146,1538622809,12,0
147,2098545367,1,0
148,2027049304,4,0
149,2408366251,5,0
150,2076522174,1,0
151,1493004624,2,0
152,2089817042,1,0
153,1594963257,1,0
154,2030566658,6,0
155,1990720364,2,0
156,2081344367,1,0
157,2112218921,26,2
158,1949248926,1,0
159,2079373094,1,0
160,1558737139,1,0
161,296476643,1,0
162,2090783003,1,2
163,42548633,1,0
164,2085499357,1,0
165,2032137897,6,0
166,2307120217,2,0
167,1924996934,1,0
168,1633674991,2,0
169,2211075525,1,0
170,2402710870,1,0
171,2004554833,1,0
172,1977422919,1,0
173,1495683013,2,0
174,2108226214,6,0
175,2119503396,1,0
176,228894118,1,0
177,2122815602,1,0
178,2105498929,1,0
179,1991696195,7,0
180,2111782578,1,0
181,2033955170,1,0
182,2183757232,1,0
183,2103777269,1,0
184,2161829364,1,0
185,2544629926,1,0
186,1575916019,1,0
187,2405414065,1,0
188,2062365684,2,0
189,1548067747,2,0
190,2022157832,2,0
191,2146510773,1,0
192,2206543688,1,0
193,2171865295,1,0
194,2558476994,1,0
195,2163006719,2,0
196,2086010902,1,0
197,2105698097,1,0
198,92873991,1,0
199,2347124201,1,0
200,1577681423,3,0
201,2161835182,3,0
202,2015012328,1,0
203,86365641,1,0
204,2125740856,2,0
205,1509283678,1,0
206,1512347342,1,0
207,2240616535,1,0
208,154566603,1,0
209,2092178086,1,0
210,2106989059,1,0
211,2002880427,17,0
212,1993205114,1,0
213,2075684233,23,2
214,2005240323,1,0
215,245602322,1,0
216,2015873284,3,0
217,1983222358,1,0
218,2130552796,5,0
219,2025095868,31,2
220,2051300824,1,0
221,2145970879,1,0
222,2064409866,1,0
223,1902343063,1,0
224,184309597,1,0
225,1757647588,1,0
226,2142533370,1,0
227,2015188905,1,0
228,1535265524,1,0
229,601093623,1,0
230,2133911634,1,0
231,1537526465,3,0
232,1971876305,2,0
233,2017933269,1,0
234,2104839555,39,8
235,2006291324,1,0
236,2408731186,2,0
237,193506207,1,0
238,2001503861,32,10
239,2000343728,1,0
240,2041793974,1,0
241,2083294444,1,0
242,175502617,1,0
243,1892498175,1,0
244,2167978925,2,0
245,174992879,1,0
246,1981702747,1,0
247,2462608500,1,0
248,2166154125,1,0
249,2082453965,1,0
250,2051120938,1,0
251,1512246197,14,0
252,2400234440,2,0
253,1784943366,1,0
254,2566158451,1,0
255,2000887129,1,0
256,1987754387,3,0
257,2070987652,1,0
258,2152319072,2,0
259,2103389940,1,0
260,1707366213,1,0
261,165571522,1,0
262,202042355,2,0
263,2167266485,1,0
264,2341606344,1,0
265,2085362422,1,0
266,2132120367,9,0
267,2127171880,2,0
268,2132212694,1,0
269,2056759733,1,0
270,176618896,1,0
271,1486903951,1,0
272,2054462831,1,0
273,2162360265,20,0
274,2063748437,7,0
275,115905605,1,0
276,90207935,1,0
277,1808874909,1,0
278,2168059277,1,0
279,2150158702,2,0
280,1993167676,2,0
281,2129911440,1,0
282,2161305236,1,0
283,1627372971,1,0
284,2113058760,1,0
285,2160334111,1,0
286,2106645822,2,0
287,2141985320,1,0
288,2538306984,5,0
289,1964778573,1,0
290,2312290889,1,0
291,2154267672,2,0
292,2105578232,1,0
293,62909654,2,0
294,2051978237,1,0
295,3695340,1,0
296,2098510489,1,0
297,1889484915,1,0
298,2048122516,6,0
299,1496703599,1,0
300,1925154005,3,0
301,2091169704,1,0
302,2047407702,3,0
303,2169908552,1,0
304,2135933868,1,0
305,2400458240,2,0
306,1989396656,8,0
307,4267876,1,0
308,1973051862,1,0
309,2124332348,37,11
310,2113013192,1,0
311,2048930880,1,0
312,93247917,26,0
313,33860737,1,0
314,1552061726,1,0
315,2108682032,11,0
316,2150256373,1,0
317,2157038620,1,0
318,2296259363,1,0
319,1909424792,1,0
320,128872795,1,0
321,2081623546,1,0
322,1519728818,2,0
323,2003589592,3,0
324,2084724629,2,0
325,2093098583,3,0
326,2126239920,1,0
327,2142970845,1,0
328,2076737947,1,0
329,1980629216,3,0
330,2044826134,3,0
331,2033620665,4,0
332,19515716,3,0
333,2029634684,1,0
334,2121152637,1,0
335,1800478330,1,0
336,2170660620,1,0
337,2145881505,4,0
338,2003011195,4,0
339,1967511895,6,0
340,2121314587,1,0
341,2019046028,1,0
342,2158303744,1,0
343,188603623,1,0
344,90270050,1,0
345,1608683114,15,0
346,2235920218,3,0
347,2105338439,7,0
348,2123962472,6,0
349,2618773911,1,0
350,2099822433,9,0
351,1981952883,6,0
352,1555992608,2,0
353,48379747,1,0
354,1634720708,1,0
355,20197351,2,0
356,2153869077,1,0
357,1593151701,1,0
358,2001887556,1,0
359,2147445292,1,0
360,2004430826,27,0
361,2025328578,1,0
362,196301257,1,0
363,2030681252,1,0
364,2104514715,1,0
365,2045923296,2,0
366,1566248475,6,0
367,2128500216,1,0
368,1973599907,1,0
369,1971421925,1,0
370,2888279226,2,0
371,1687870758,2,0
372,1992775328,1,0
373,2134957872,1,0
374,2059913822,5,0
375,2041649634,2,0
376,2085637447,1,0
377,2110348241,1,0
378,2077961681,1,0
379,2021609330,1,0
380,2066063892,1,0
381,2018554324,2,0
382,2129894031,1,0
383,193222607,1,0
384,2018029707,1,0
385,1982343548,2,0
386,2057796693,8,0
387,2060392407,1,0
388,2477461738,3,0
389,1988422479,1,0
390,1533551615,1,0
391,2089238746,1,0
392,2073902356,2,0
393,2035850081,27,1
394,2606826030,1,0
395,2157392583,1,0
396,2050642144,18,0
397,2107022859,1,0
398,2059122314,1,0
399,2158283206,4,0
400,2114633242,1,0
401,1566167404,1,0
402,115394847,3,0
403,2060925781,2,0
404,2076566073,9,2
405,2014111329,2,0
406,2109192744,1,0
407,2013993058,1,0
408,2096586500,1,0
409,2142984484,1,0
410,2062998568,1,0
411,1994304309,4,0
412,1977674594,7,0
413,2067842160,1,0
414,2079642188,1,0
415,1978979503,1,0
416,2069527335,5,0
417,2020639717,107,0
418,1952857803,1,0
419,2058208680,1,0
420,2227254939,1,0
421,2157161277,1,0
422,2100916003,1,0
423,1820513673,1,0
424,2037281558,4,0
425,11087487,1,0
426,2057740291,1,0
427,2398573183,1,0
428,2021782699,1,0
429,2098806750,4,0
430,2045625826,2,0
431,2186171847,1,0
432,2075598345,1,0
433,2055709972,1,0
434,2075522642,1,0
435,1590330054,2,0
436,2071393163,3,0
437,1979416796,34,0
438,2076618452,1,0
439,1843254951,4,0
440,2165637559,8,0
441,131680033,1,0
442,2082954984,6,0
443,2019839048,1,0
444,1512990238,1,0
445,1983724229,1,0
446,2497763623,1,0
447,2483396559,1,0
448,2008132419,3,0
449,2058702180,8,0
450,2074059029,2,0
451,1985690946,3,0
452,2061487651,2,0
453,2338188909,1,0
454,152608307,1,0
455,2056383672,38,0
456,2015370254,1,0
457,2110935301,1,0
458,2027687467,1,0
459,2038821408,2,0
460,2406108938,1,0
461,2005453951,1,0
462,2046476542,1,0
463,2014164607,1,0
464,1992446872,1,0
465,1553183615,1,0
466,1993987782,11,1
467,2085728285,1,0
468,1964479576,1,0
469,2109738189,1,0
470,2059639741,13,0
471,2331510717,1,0
472,2036616308,3,0
473,136349080,1,0
474,2104586939,28,0
475,2032704072,1,0
476,1544484417,6,0
477,2057451632,2,0
478,143424612,1,0
479,1986946762,2,0
480,587906530,1,0
481,1966614305,1,0
482,1535195418,1,0
483,51668878,2,0
484,2171370245,1,0
485,194658198,1,0
486,1970729227,1,0
487,2144023319,1,0
488,2799049976,1,0
489,103635732,1,0
490,2038565058,5,0
491,2043701479,1,0
492,2021188969,1,0
493,2157864178,1,0
494,2161708246,3,0
495,2168582071,1,0
496,2158882008,35,11
497,2346571479,1,0
498,2113878433,1,0
499,2124780025,1,0
500,2145388246,7,0
501,2016445253,1,0
502,2800168860,1,0
503,2346389740,4,0
504,2061332937,1,0
505,2610856828,1,0
506,2055463955,2,0
507,2009141150,5,0
508,1993845920,2,0
509,2545908109,1,0
510,2164058213,1,0
511,1966481449,20,0
512,1979962431,1,0
513,2080784330,2,0
514,2172064665,103,4
515,2159357791,2,0
516,2006424742,1,0
517,2096709039,7,0
518,33934461,1,0
519,2091644349,6,0
520,2061857255,1,0
521,2135552455,1,0
522,256829087,1,0
523,2150036989,1,0
524,2167001229,1,0
525,1917574623,1,0
526,2127329798,1,0
527,1560773362,1,0
528,2149517368,1,0
529,1972703107,8,0
530,2039446642,4,0
531,2091438169,1,0
532,2080909714,22,0
533,1966243576,5,0
534,100135947,1,0
535,2175746736,1,0
536,2122444328,1,0
537,112285410,1,0
538,2109488581,2,0
539,1970026646,1,0
540,2096454666,39,5
541,1978814076,13,0
542,2017967790,1,0
543,1984638966,30,0
544,2087541882,1,0
545,2131237072,3,0
546,2122919069,13,0
547,2123829847,1,0
548,2099187270,9,0
549,2169829855,1,0
550,2010741055,1,0
551,575255245,1,0
552,1977647663,2,0
553,2015666476,1,0
554,2129452844,1,0
555,1998544072,1,0
556,2035609997,1,0
557,2080947834,1,0
558,2115713680,1,0
559,2059381371,1,0
560,2001340812,4,0
561,2016010327,13,0
562,2152171563,1,0
563,2114039576,1,0
564,1967998665,9,0
565,1720363294,2,0
566,2144020833,3,0
567,2145547640,1,0
568,1945969772,1,0
569,2087236414,1,0
570,2308408152,1,0
571,2089186444,1,0
572,2025904135,1,0
573,1995718668,1,0
574,2035261094,1,0
575,2295145241,1,0
576,2074224104,1,0
577,1993842713,1,0
578,1576632330,1,0
579,1497743409,1,0
580,1967215090,1,0
581,2006750647,1,0
582,2001684194,5,0
583,1965563707,1,0
584,2533940173,1,0
585,1970195514,1,0
586,2078017118,1,0
587,2071558895,4,0
588,1980913684,1,0
589,2063898208,1,0
590,2143635817,1,0
591,1830239953,1,0
592,2053406820,4,0
593,1588590883,1,0
594,2162983477,1,0
