patent
4905163
5010500
5043919
5086386
5255361
5313575
5317647
5327529
5347623
5353401
5369575
5372996
5392400
5408662
5418902
5459488
5490097
5526277
5526480
5535332
5541849
5544066
5544262
5546522
5553002
5557531
5572437
5579467
5586252
5598344
5602985
5627914
5645077
5671380
5671428
5675374
5691744
5694535
5699441
5701424
5717940
5724262
5726701
5729249
5729731
5731820
5734735
5742736
5745910
5751271
5751843
5752056
5757358
5758110
5760752
5767923
5778108
5790935
5799295
5805137
5805161
5805163
5807284
5808908
5812135
5819267
5828866
5832113
5877758
5893909
5895459
5896532
5903904
5920327
5920360
5924090
5928325
5937397
5943679
5946678
5948031
5948057
5956026
5959697
5983187
5995095
6009094
6012051
6014517
6016139
6025844
6028600
6029141
6031537
6037944
6038560
6041311
6055332
6057843
6061064
6061471
6064974
6083163
6092049
6094648
6097373
6097392
6102966
6104401
6108583
6144956
6144964
6151030
6151208
6151620
6151701
6161070
6162191
6166739
6172685
6177932
6182090
6192364
6192383
6195657
6195791
6201549
6201859
6208355
6209021
6226686
6236365
6237138
6240207
6243763
6249252
6249908
6250930
6256032
6256638
6256773
6259458
6266668
6275227
6281651
6281898
6282284
6304260
6304677
6308199
6313833
6321221
6321226
6323846
6324511
6329984
6330589
6330676
6330976
6334131
6338074
6339430
6345264
6345304
6347290
6353428
6353436
6353813
6356899
6357040
6361507
6366948
6373463
6374270
6374271
6381598
6392667
6393605
6396497
6396507
6397183
6405214
6408257
6408288
6411307
6411994
6415305
6418433
6424973
6437770
6438564
6438580
6446035
6448988
6449765
6453241
6462767
6463431
6463433
6466955
6467080
6467081
6470333
6470386
6486898
6490570
6496842
6499049
6502126
6505191
6510349
6515968
6523024
6523029
6523048
6523169
6535881
6539385
6554433
6560711
6567549
6567838
6567844
6571238
6573883
6584181
6587859
6590583
6591417
6597347
6598043
6598167
6601029
6601098
6621899
6626955
6629065
6633316
6637021
6638317
6640224
6642947
6654035
6654793
6661920
6662357
6675161
6675197
6677939
6678880
6684205
6687878
6691163
6693633
6693661
6694357
6697734
6697999
6704722
6704756
6714214
6721898
6724373
6728756
6729731
6732090
6732155
6734848
6738040
6745339
6748570
6752317
6763388
6765553
6766297
6768788
6772081
6772148
6778979
6779155
6782409
6782508
6785709
6786877
6789254
6795429
6798429
6799190
6801659
6802041
6803930
6812926
6812956
6820075
6820093
6823308
6826540
6826551
6826570
6828986
6829334
6829771
6832223
6834306
6836537
6839635
6842175
6842877
6847348
6847897
6847961
6850229
6850931
6850940
6850978
6856984
6857072
6859657
6859822
6862686
6862711
6864904
6865570
6865718
6869023
6871340
6874123
6877137
6886129
6886170
6888536
6888542
6888554
6892178
6892179
6894716
6895385
6898307
6901110
6907562
6907569
6907581
6909382
6909439
6911968
6915489
6918097
6918121
6920492
6925477
6928425
6928452
6928453
6931147
6938070
6938218
6938263
6940526
6941302
6947571
6948070
6952181
6952716
6954903
6957205
6963871
6964019
6967651
6968215
6968571
6970925
6973449
6973450
6975983
6976244
6976248
6977579
6987221
6989816
6990670
6993347
6993487
6993771
6995747
6996784
7003363
7007003
7007235
7007242
7009599
7010573
7010602
7010744
7013315
7020622
7023425
7024228
7024625
7027993
7027994
7028034
7028255
7028267
7032174
7034832
7035748
7039863
7039864
7043698
7043716
7047092
7051212
7054900
7057608
7057612
7058600
7058954
7062511
7062720
7065574
7068284
7069451
7071825
7072967
7076118
7076431
7076483
7076652
7076675
7081900
7082430
7082570
7084858
7085759
7095840
7095854
7096221
7099854
7099895
7100111
7100199
7106204
7107281
7107525
7110998
7111230
7113741
7114083
7117432
7117479
7120800
7120872
7127082
7127464
7127704
7128577
7129932
7130390
7131059
7131060
7133845
7133862
7134073
7136868
7137063
7139685
7139717
7139784
7139983
7139999
7146571
7148906
7149755
7151452
7151546
7152064
7152180
7158138
7158966
7159023
7159147
7159191
7164423
7164432
7165213
7165214
7167832
7167840
7167901
7168047
7170491
7171448
7171619
7172118
