,patent_id,inventor_id,location_id
59,8897920,8056802-3,78ce0f74-293e-496c-9763...
60,7710828,7126877-4,976830c9-845f-40eb-900f...
61,9125987,5630080-6,b37e014e-e0fc-4aa8-be3a...
62,9307291,5515511-4,bb551af1-d06b-4502-b5a8...
63,9773020,4525330-4,5e1d3075-2642-4d15-b47e...
64,9092784,9092784-1,ba5bfbc9-3a01-4672-80e2...
65,9613477,7788350-2,1af0f324-2dfe-4725-9866...
66,7392387,4914586-1,884262d3-43db-449f-90e2...
67,9894457,8184979-3,9a2fc8f2-dcbf-4f61-b8e4...
68,10030988,9134137-6,6f3b1f3d-3127-47ff-87d...
69,9482538,8462110-1,b519888b-8245-47a2-a630...
70,7177929,5909569-3,9b586dd9-335b-4ce7-a65c...
71,7181536,5884081-1,df51e03f-f757-495c-9651...
72,9460412,9460412-7,8f9d901b-2163-417a-a26e...
73,8478642,8139850-4,22b31977-37d0-4402-8994...
74,8713091,7490158-1,6f3b1f3d-3127-47ff-87df...
75,8316298,4973052-1,24679f42-e513-47cf-9c50...
76,10008090,8180591-1,ee2eea05-fc09-46be-8a5...
77,9254363,5630080-6,b37e014e-e0fc-4aa8-be3a...
78,8108144,6253228-3,44a43e0d-f423-4c58-8ab4...
79,9973391,6778683-2,676838c4-361f-4f51-b6af...
80,9918313,7333464-3,fd2afc45-72df-4a73-a321...
81,9122254,7082339-2,29cd4e55-040f-420b-b4ad...
82,7899812,6748398-2,fd2afc45-72df-4a73-a321...
83,9799036,7053998-2,6f3b1f3d-3127-47ff-87df...
84,8037143,6707905-1,df9373ea-5d21-4232-8004...
85,8229470,7313095-1,a80b27d1-29c7-4841-8f34...
86,7860516,5986623-1,50806401-7b66-4b47-8cb2...
87,9037162,7305245-1,21284c38-81a2-4594-a0cc...
88,7860038,6697857-3,50806401-7b66-4b47-8cb2...
89,9574717,7510299-3,c9cb4897-1cc2-4d5f-9178...
90,8417215,5581601-3,093429d0-fc8c-4ca9-80a0...
91,8933841,5717195-1,c16f58ae-3e34-409f-8b13...
92,9277321,9071900-4,52bf7fad-463d-45ec-82c8...
93,9390344,9020187-1,a688122f-6153-455f-b01d...
94,10026169,10026169-4,65c36ea8-48bf-4a12-81...
95,9473944,7358962-4,290559dc-02ce-422e-a0f4...
96,9230076,5187571-1,6f3b1f3d-3127-47ff-87df...
97,10089253,5571910-4,78c0a8c7-dfd9-40b0-85a...
98,9555326,9526979-5,78c0a8c7-dfd9-40b0-85a5...
99,9031581,7111163-1,00a9000e-2054-43b0-bea8...
100,10057963,D624328-2,c2f63a76-286d-4e39-a57...
101,8694537,7698254-4,a80b27d1-29c7-4841-8f34...
102,8971915,8559974-4,bc8e37ea-cfac-411d-89c7...
103,9871876,9565521-3,533337f2-9e2e-4781-acd5...
104,9141704,5107149-1,6f3b1f3d-3127-47ff-87df...
105,7249165,7249165-3,a80b27d1-29c7-4841-8f34...
106,9898530,6658356-2,df51e03f-f757-495c-9651...
107,8973069,5436653-1,57826b84-2949-48ed-9f25...
108,9109904,5724567-3,3af1db57-f6de-4928-96e5...
109,7076523,7076523-3,ef855781-6279-450f-b6cf...
110,8581698,8581698-6,1070a0cc-bcff-47cb-ba62...
111,10097955,8427303-2,eb976c47-ac33-4420-85f...
112,8423255,8073467-2,784bd297-e174-4b80-ab09...
113,9171419,9171419-8,1d4238d5-0f58-4e1e-a983...
114,9350690,5664099-1,290559dc-02ce-422e-a0f4...
115,9367850,6807536-1,290559dc-02ce-422e-a0f4...
116,9171419,3953123-2,214aaeb5-29c7-4a32-88a9...
117,8863161,4847540-1,bdf5508a-45a6-4642-a5f8...
118,10013564,5630080-1,290559dc-02ce-422e-a0f...
119,9491589,5111409-2,50806401-7b66-4b47-8cb2...
120,8180591,6323680-7,ee2eea05-fc09-46be-8a5a...
121,8789191,5941988-1,2432d162-8224-48fe-bf63...
122,7555257,7555257-9,6f3b1f3d-3127-47ff-87df...
123,9122254,4916999-2,81cedc5e-f26b-410a-8460...
124,8510255,8510255-4,884262d3-43db-449f-90e2...
125,10108460,7464078-2,2432d162-8224-48fe-bf6...
126,7708493,5630080-1,290559dc-02ce-422e-a0f4...
127,9983016,9279695-1,b3ff5258-59a5-4e6a-8881...
128,9819754,7831784-1,1b0b557c-344e-4ae9-9740...
129,9092994,9082313-6,290559dc-02ce-422e-a0f4...
130,9854556,6778683-2,676838c4-361f-4f51-b6af...
131,7133663,6199099-4,bd32eb7a-68b6-424d-9921...
132,7991890,7590779-6,77bae20e-3d4e-4023-8d7e...
133,8696569,7703012-2,541f6aa1-ad9c-4bd3-84db...
134,8713091,8713091-3,77bae20e-3d4e-4023-8d7e...
135,7454619,6701294-3,541f6aa1-ad9c-4bd3-84db...
136,9529071,9529071-2,6cb6af88-092d-4a42-987a...
137,9571785,7287015-2,b785dc52-657e-4858-a0cd...
138,10109175,6304769-3,541f6aa1-ad9c-4bd3-84d...
139,8423255,6766245-1,784bd297-e174-4b80-ab09...
140,9986486,9705774-3,7242bd3a-133e-4751-84d1...
141,9635510,9635510-1,65c36ea8-48bf-4a12-8136...
142,7822992,7627557-1,290559dc-02ce-422e-a0f4...
143,7716079,7421458-1,55a2157c-95fa-408a-9d3a...
144,8849731,8732822-3,6f3b1f3d-3127-47ff-87df...
145,8959165,6608549-4,4f5e4429-aac1-4314-9beb...
146,10129705,9602965-4,4f5e4429-aac1-4314-9be...
147,8473989,7751317-2,0010c4ad-3f0a-4f72-b168...
148,9349128,4525330-4,5e1d3075-2642-4d15-b47e...
149,8666367,7953808-1,a80b27d1-29c7-4841-8f34...
150,9311405,D336417-1,e3d274bf-4589-438a-8871...
151,9536152,8023153-1,c789435b-3f38-4a55-9f30...
152,8904449,4847540-1,301c6044-b6a6-43c8-bda6...
153,9550124,6462677-4,25a2bf78-9411-427f-a8c9...
154,9667287,5025793-1,f1b03785-6884-40ca-85d1...
155,9894486,6686839-2,9a2fc8f2-dcbf-4f61-b8e4...
156,9524492,8239519-1,d68cbe79-c90b-46d7-beea...
157,9698841,7492316-5,8801fb0d-fb26-4dfb-b11f...
158,7577974,6920607-4,290559dc-02ce-422e-a0f4...
159,9319868,6697840-4,884262d3-43db-449f-90e2...
160,10034265,8559974-4,18a07811-07dc-4c30-b3e...
161,8638256,7305245-1,21284c38-81a2-4594-a0cc...
162,8330654,7376099-1,a9b4e768-b82c-4c97-a955...
163,10129705,10129705-1,4f5e4429-aac1-4314-9b...
164,7899812,6519136-5,fd2afc45-72df-4a73-a321...
165,8803909,7748622-4,00ac459d-af7d-4503-bcd5...
166,8260641,5189408-1,32d09fe4-40ea-4a0e-8a34...
167,7743081,4474281-1,08631bca-ba74-4dae-9bea...
168,9392345,6177928-1,2b4b8b74-a983-4187-b22a...
169,7216266,6865336-1,0dad2c1d-7feb-41a5-8eff...
170,9832025,8965339-1,4f5e4429-aac1-4314-9beb...
171,9563671,7783644-1,c42f3660-843b-44f6-8d10...
172,9240823,8665210-3,77bae20e-3d4e-4023-8d7e...
173,8738699,D653646-1,6d72d74d-7137-4748-bfa8...
174,9721283,7818759-4,a80b27d1-29c7-4841-8f34...
175,8965412,7305245-1,21284c38-81a2-4594-a0cc...
176,9766121,6799193-2,071921dc-3c95-4d1e-9ea2...
177,9357955,9250851-3,8787b56f-c7bb-4950-a1bf...
178,9549042,5434905-3,533337f2-9e2e-4781-acd5...
179,8696569,6323680-7,ee2eea05-fc09-46be-8a5a...
180,7463894,6199099-4,bd32eb7a-68b6-424d-9921...
181,9571785,5095302-2,bbae15df-8687-4247-a9a3...
182,8174931,8068886-1,c800342a-847b-44a5-8463...
183,10001817,8806369-5,541f6aa1-ad9c-4bd3-84d...
184,8200246,6253195-3,4e7797c1-b5d1-46c9-81a0...
185,9894486,6013722-1,3729902a-a515-4238-b4d5...
186,7650431,6347313-1,fd2afc45-72df-4a73-a321...
187,9168000,6656178-5,a01ef1f3-9797-4e2c-80b6...
188,9596575,6355086-4,047a8e98-7c55-4cf9-8ec4...
189,9462317,5436653-1,57826b84-2949-48ed-9f25...
190,10068279,6240550-2,8fd78b52-5572-4578-933...
191,8744838,7505607-2,4a6197e7-5482-461c-a7c3...
192,9748765,7295101-2,e0f2913c-7029-4d00-be71...
193,9955318,4938530-2,c2f63a76-286d-4e39-a575...
194,8660530,7747784-1,541f6aa1-ad9c-4bd3-84db...
195,10142792,7587492-2,da624810-7d38-40a6-aa5...
196,9990615,D665375-2,4f5e4429-aac1-4314-9beb...
197,9619012,5729710-1,d1248eb6-a0c3-4c24-ba0e...
198,9819754,6323680-7,ee2eea05-fc09-46be-8a5a...
199,10138671,4916999-2,81cedc5e-f26b-410a-846...
200,8762102,8615377-3,62cde0e7-2c4c-4371-9676...
201,9716784,5101395-2,c4386461-a33b-4198-82e6...
202,8031891,6405251-3,290559dc-02ce-422e-a0f4...
203,8108144,6714221-1,a80b27d1-29c7-4841-8f34...
204,7213048,6327535-4,50806401-7b66-4b47-8cb2...
205,8117547,6327535-2,77bae20e-3d4e-4023-8d7e...
206,10080208,7305245-3,976830c9-845f-40eb-900...
207,9507866,9507866-2,67e9cda7-7449-4518-ab37...
208,9836597,9401000-1,8df5accd-2264-4c5b-bee2...
209,7856373,7853474-1,c42f3660-843b-44f6-8d10...
210,10082397,4661902-4,290559dc-02ce-422e-a0f...
211,7620656,7596582-3,290559dc-02ce-422e-a0f4...
212,9296107,5187796-1,86d228d6-0f0d-4bc0-9fdb...
213,9836597,7783644-1,c42f3660-843b-44f6-8d10...
214,8065411,8005879-6,c28f6be6-c829-459e-9cc7...
215,8290513,5724567-3,3af1db57-f6de-4928-96e5...
216,7937752,7426271-3,85c0f856-c244-4688-86e1...
217,9830426,9202111-1,ab652a00-c10d-4f0e-a480...
218,9444817,5765153-3,d819cf80-58a1-4e64-b179...
219,7668931,6327535-2,12b17a94-8083-414d-864b...
220,9374369,9374369-4,ee2eea05-fc09-46be-8a5a...
221,8825510,7287015-2,b785dc52-657e-4858-a0cd...
222,10104026,5821999-2,541f6aa1-ad9c-4bd3-84d...
223,9407950,9407950-5,a1279602-f354-4f3d-b449...
224,8296413,7250855-3,884262d3-43db-449f-90e2...
225,9748765,8583625-4,6f3b1f3d-3127-47ff-87df...
226,9904932,7797260-3,579a7150-db21-4a3a-86b3...
227,7738881,5694559-2,d819cf80-58a1-4e64-b179...
228,9600544,8621394-1,2d931305-2430-45e2-a093...
229,9564123,6608815-1,a80b27d1-29c7-4841-8f34...
230,6268414,5756152-1,f7f1fbc8-318b-4b5b-a175...
231,9477302,7092740-1,541f6aa1-ad9c-4bd3-84db...
232,9575477,8701155-3,85e85369-9296-4c83-8a3d...
233,8768648,7831784-1,1b0b557c-344e-4ae9-9740...
234,7693736,7693736-4,af23f635-b497-402c-8506...
235,9948729,9317416-1,05bb7553-dded-42ba-821d...
236,10028090,5325419-4,8f9d901b-2163-417a-a26...
237,9915825,8746898-2,dfab42d2-698c-406a-9eed...
238,9555326,9555326-11,5bd4773b-184f-43e8-bdb...
239,8527622,8005879-7,c28f6be6-c829-459e-9cc7...
240,9836992,4807266-1,290559dc-02ce-422e-a0f4...
241,8924144,6714221-1,a80b27d1-29c7-4841-8f34...
242,9646313,9646313-3,6f3b1f3d-3127-47ff-87df...
243,8670953,6323680-7,ee2eea05-fc09-46be-8a5a...
244,8543351,6323680-7,ee2eea05-fc09-46be-8a5a...
245,9348645,8239867-2,541f6aa1-ad9c-4bd3-84db...
246,9178991,7697827-1,46500c49-ea17-48be-be4f...
247,9947262,7295101-2,e0f2913c-7029-4d00-be71...
248,9736655,5111409-2,50806401-7b66-4b47-8cb2...
249,7982609,7978652-3,0010c4ad-3f0a-4f72-b168...
250,9674661,8775337-4,6f3b1f3d-3127-47ff-87df...
251,7366546,7366546-4,12b17a94-8083-414d-864b...
252,9626726,9626726-1,541f6aa1-ad9c-4bd3-84db...
253,7319877,5694559-2,d819cf80-58a1-4e64-b179...
254,8718669,7277714-3,e5d02a8d-beaa-41a4-b91f...
255,9380069,7337389-3,4a8496b4-9aaa-4798-83ba...
256,9420432,6101513-2,d819cf80-58a1-4e64-b179...
257,9149727,4847540-1,bdf5508a-45a6-4642-a5f8...
258,9939862,6816437-2,6f3b1f3d-3127-47ff-87df...
259,7936872,7936872-5,77bae20e-3d4e-4023-8d7e...
260,9798325,7825364-4,4e7797c1-b5d1-46c9-81a0...
261,7916861,7426271-1,44a43e0d-f423-4c58-8ab4...
262,8594698,6832207-1,4f5e4429-aac1-4314-9beb...
263,9082313,9082313-2,480ef51a-bd04-494a-8b8c...
264,7359714,6327535-4,50806401-7b66-4b47-8cb2...
265,8498811,6377195-2,ea388d38-5478-4a0e-9d0a...
266,8990412,8990412-1,00e8a71d-de3c-4582-8403...
267,8018335,7133003-2,4e7797c1-b5d1-46c9-81a0...
268,9700223,9700223-4,e137327d-c32f-488a-93a3...
269,7577974,7577974-4,6f3b1f3d-3127-47ff-87df...
270,9619523,8316296-4,290559dc-02ce-422e-a0f4...
271,7454619,7130998-1,85c0f856-c244-4688-86e1...
272,9681378,7317914-3,4e7797c1-b5d1-46c9-81a0...
273,10097225,7593473-2,bc8e37ea-cfac-411d-89c...
274,9355611,6618705-2,fd2afc45-72df-4a73-a321...
275,8874162,5111409-2,50806401-7b66-4b47-8cb2...
276,9596585,7187925-3,12b17a94-8083-414d-864b...
277,9524435,9171352-2,80635f95-4bf0-4a27-8485...
278,8095600,6442620-4,77bae20e-3d4e-4023-8d7e...
279,9984314,8929933-8,290559dc-02ce-422e-a0f4...
280,9989764,8582119-3,2585523d-81e1-45a9-ac11...
281,8977480,8639654-2,4019c818-5c82-47f2-bf39...
282,9473507,7076804-3,15aa7f8a-0763-47f9-b088...
283,8972177,7260261-1,fd2afc45-72df-4a73-a321...
284,9103900,7305245-1,21284c38-81a2-4594-a0cc...
285,8191004,6978264-1,290559dc-02ce-422e-a0f4...
286,7509131,5983147-1,6f3b1f3d-3127-47ff-87df...
287,9990615,7085679-2,968fd867-e210-4e77-b325...
288,8781791,6323680-7,ee2eea05-fc09-46be-8a5a...
289,9642219,D624328-2,c2f63a76-286d-4e39-a575...
290,7769396,7474897-4,bed060d4-da7c-42b7-8b31...
291,9171419,5415402-2,6706a65a-9aa1-462f-8170...
292,9374369,7031980-2,541f6aa1-ad9c-4bd3-84db...
293,7908141,5586264-1,a80b27d1-29c7-4841-8f34...
294,9261376,9261376-3,fd2afc45-72df-4a73-a321...
295,10073268,8582119-3,2585523d-81e1-45a9-ac1...
296,9159066,7330112-1,f253dca9-a975-4c8d-8a14...
297,10095486,10095486-4,d0fc7fef-8370-4577-9e...
298,9348645,9348645-4,a80b27d1-29c7-4841-8f34...
299,8903847,5333304-1,3cea3177-1b46-48fc-8b9c...
300,7359714,6327535-1,290559dc-02ce-422e-a0f4...
301,9521375,D665375-2,4f5e4429-aac1-4314-9beb...
302,7925528,6369837-1,44fdd716-25af-49a7-991c...
303,10133889,8272743-7,e0f2913c-7029-4d00-be7...
304,8005631,7126877-4,976830c9-845f-40eb-900f...
305,8009192,4980583-1,da4552fb-6e9a-4607-acf0...
306,9829577,5101480-1,6f1c07e2-c9b7-4e0d-a1f0...
307,9516471,8619643-2,ce93d400-c3b9-49a0-a014...
308,9858356,6327620-1,853f2ac1-adb0-4802-bb3c...
309,8478642,8478642-3,22b31977-37d0-4402-8994...
310,9495783,4261763-1,0cf6269f-f80e-4eea-9c89...
311,9479512,8589148-6,eac58887-b8b3-4f02-ba57...
312,9390757,6501946-2,618a56ec-50b2-42b4-b7db...
313,7933612,7668691-1,290559dc-02ce-422e-a0f4...
314,9953018,9953018-5,4e7797c1-b5d1-46c9-81a0...
315,7587359,7428505-1,541f6aa1-ad9c-4bd3-84db...
316,10054788,7868857-2,5b422f19-a303-4f09-ae7...
317,9547370,5572626-3,2432d162-8224-48fe-bf63...
318,7587359,7222092-1,a80b27d1-29c7-4841-8f34...
319,9292166,8849435-7,5e5b5aca-0565-402f-844b...
320,9092994,9082313-3,6f3b1f3d-3127-47ff-87df...
321,10043196,6067532-1,c42f3660-843b-44f6-8d1...
322,9894457,9496989-3,784bd297-e174-4b80-ab09...
323,8948184,7295101-2,e0f2913c-7029-4d00-be71...
324,8683566,7496349-1,022e7488-04a1-4180-9073...
325,9563280,8611670-1,884262d3-43db-449f-90e2...
326,8903847,6373505-3,3cea3177-1b46-48fc-8b9c...
327,8396490,4895121-4,b3f939dd-4e48-439c-9986...
328,9325752,6101513-2,6f3b1f3d-3127-47ff-87df...
329,10034268,9406170-2,290559dc-02ce-422e-a0f...
330,8970380,7480913-1,9d32a5d2-bf46-4143-828f...
331,10133889,8811719-2,290559dc-02ce-422e-a0f...
332,9389258,8593431-1,74f09750-8b56-4625-ba1d...
333,8543185,7703012-2,541f6aa1-ad9c-4bd3-84db...
334,8156208,7779383-2,b3ff5258-59a5-4e6a-8881...
335,9669262,8180591-1,ee2eea05-fc09-46be-8a5a...
336,8744838,8744838-3,e89b54e4-0779-4d14-b9a0...
337,8996296,7742746-1,784bd297-e174-4b80-ab09...
338,8762056,6253228-3,44a43e0d-f423-4c58-8ab4...
339,10026169,10026169-9,65c36ea8-48bf-4a12-81...
340,9044543,6665863-1,290559dc-02ce-422e-a0f4...
341,8649968,8014945-1,e2361501-08ba-43f8-b82f...
342,9536047,6175604-2,11e0e515-2609-40e5-9e9c...
343,9430797,6240550-2,2468e520-f41d-4f4c-8111...
344,9370320,6323680-7,ee2eea05-fc09-46be-8a5a...
345,8745247,7831784-1,1b0b557c-344e-4ae9-9740...
346,7848962,7424447-1,03f5930c-24b2-4ed6-a73e...
347,8966121,7930427-3,d819cf80-58a1-4e64-b179...
348,7483952,6865653-2,e3187c1f-1184-4479-b32a...
349,9396487,4525330-4,5e1d3075-2642-4d15-b47e...
350,10083009,6513063-3,a80b27d1-29c7-4841-8f3...
351,10037627,10037627-2,ba7e9195-f37d-426c-84...
352,7053916,3958326-2,00e8a71d-de3c-4582-8403...
353,9661468,7620659-4,4e7797c1-b5d1-46c9-81a0...
354,8427303,8427303-2,eb976c47-ac33-4420-85ff...
355,10057963,5802789-7,c2f63a76-286d-4e39-a57...
356,9149727,6182126-2,c806f09e-668e-4f8c-8d9e...
357,8683566,8055238-2,afc4c675-eee0-4bd1-914a...
358,9311687,6611607-2,071921dc-3c95-4d1e-9ea2...
359,9313788,9313788-3,b3ff5258-59a5-4e6a-8881...
360,9823828,5844901-2,3af1db57-f6de-4928-96e5...
361,8892461,5434905-3,533337f2-9e2e-4781-acd5...
362,9378457,7747687-1,6cb6af88-092d-4a42-987a...
363,8665154,5420692-1,83cb4e57-2d6d-4bb8-8002...
364,9521375,8849435-4,5e5b5aca-0565-402f-844b...
365,9222788,9222788-5,541f6aa1-ad9c-4bd3-84db...
366,7725592,7054634-5,6cb6af88-092d-4a42-987a...
367,9716861,9716861-1,c2f63a76-286d-4e39-a575...
368,9832749,7941700-1,a833118e-8ccb-4dfc-818b...
369,9222788,6068184-1,1856afe9-bb0e-494d-a1b9...
370,8095600,7694167-3,d819cf80-58a1-4e64-b179...
371,8131838,7801983-5,3ea27a3b-4b23-42e0-967d...
372,8983501,8538807-1,c83fc1fd-8986-440d-a1fa...
373,10063564,9792102-1,1654f3bd-b285-4fc9-856...
374,9378457,5772352-1,6cb6af88-092d-4a42-987a...
375,9130754,6408428-6,784bd297-e174-4b80-ab09...
376,10030988,8078974-2,4e7797c1-b5d1-46c9-81a...
377,9612128,7774734-2,541f6aa1-ad9c-4bd3-84db...
378,8818753,6323680-7,ee2eea05-fc09-46be-8a5a...
379,9602152,5597300-1,2789810d-8296-4913-8648...
380,9390405,7327238-2,446a0a5e-9194-4a40-99ce...
381,9595258,6611607-2,071921dc-3c95-4d1e-9ea2...
382,9286792,7703012-2,541f6aa1-ad9c-4bd3-84db...
383,8014945,8014945-1,e2361501-08ba-43f8-b82f...
384,8745434,8745434-2,fd2afc45-72df-4a73-a321...
385,9491589,7756044-3,290559dc-02ce-422e-a0f4...
386,8018335,6665863-1,290559dc-02ce-422e-a0f4...
387,8751644,7801983-5,4e72e122-8fd3-4e2c-98ff...
388,9389845,8412955-3,b519888b-8245-47a2-a630...
389,8498573,7950064-2,35a36b24-2ac2-4a6a-9714...
390,8504292,8504292-2,affad6ce-28aa-4e42-82a6...
391,8180592,7703012-2,541f6aa1-ad9c-4bd3-84db...
392,9355315,8311331-2,5f4c4383-40c4-4f0b-a201...
393,9363426,5924116-2,bbae15df-8687-4247-a9a3...
394,9712265,6859836-1,8f9d901b-2163-417a-a26e...
395,9875451,5195025-2,df51e03f-f757-495c-9651...
396,9976864,9618343-1,4e7797c1-b5d1-46c9-81a0...
397,9692839,8838435-2,1d4238d5-0f58-4e1e-a983...
398,9804740,8438504-1,541f6aa1-ad9c-4bd3-84db...
399,7710288,7710288-1,caccae8b-5719-4e88-9d78...
400,8009192,7535571-4,0010c4ad-3f0a-4f72-b168...
401,8696569,8180591-1,ee2eea05-fc09-46be-8a5a...
402,9330316,9137638-2,20385d97-9587-4774-8cfd...
403,9026555,6714909-3,a1e1f315-6c12-4cb7-8101...
404,9861893,8337305-1,f5461037-50c0-4d16-8d26...
405,8868538,5388990-1,3f2a97d3-60ff-4cd8-a620...
406,9390402,7881984-1,77bae20e-3d4e-4023-8d7e...
407,7275156,6754821-5,541f6aa1-ad9c-4bd3-84db...
408,10001817,D752641-2,a80b27d1-29c7-4841-8f3...
409,9178446,9178446-2,8f9d901b-2163-417a-a26e...
410,8874592,6573844-2,6f3b1f3d-3127-47ff-87df...
411,7367029,7133872-1,541f6aa1-ad9c-4bd3-84db...
412,9363264,7107220-1,2a4c58c8-6099-4b14-ae87...
413,9883360,7111163-1,00a9000e-2054-43b0-bea8...
414,8417215,8417215-4,0e2ee9a5-d74a-4a61-9433...
415,9286792,7831784-1,1b0b557c-344e-4ae9-9740...
416,9317485,7941467-2,4df8841c-41a2-4ab4-b354...
417,10025870,10025870-2,6d1bf247-45da-45df-85...
418,8593925,4847540-1,301c6044-b6a6-43c8-bda6...
419,9737798,6992679-4,943cdf56-d0b8-428a-8a4d...
420,6957393,6564209-2,943e4902-8ea1-41fc-8035...
421,10054788,7870211-3,2585523d-81e1-45a9-ac1...
422,9495783,8385630-1,17fd9513-2c8f-4f7a-b993...
423,9039614,6323680-7,ee2eea05-fc09-46be-8a5a...
424,8638939,8127982-1,a80b27d1-29c7-4841-8f34...
425,9539515,4847540-1,bdf5508a-45a6-4642-a5f8...
426,9639170,6304769-3,541f6aa1-ad9c-4bd3-84db...
427,8924248,6955794-4,a1e1f315-6c12-4cb7-8101...
428,7308642,7308642-2,abc54e42-6e8e-4db8-9800...
429,8239764,7808990-1,a80b27d1-29c7-4841-8f34...
430,9407950,9407950-6,6f3b1f3d-3127-47ff-87df...
431,10140649,8484368-2,45ffbe31-202c-46e8-80c...
432,9947198,9554747-1,0010c4ad-3f0a-4f72-b168...
433,9584960,7111163-1,00a9000e-2054-43b0-bea8...
434,8180379,5485402-4,731c0299-0e84-4842-8029...
435,9955358,4660213-3,e137327d-c32f-488a-93a3...
436,8478289,7961934-1,82c8fc98-eb85-4cea-aa20...
437,10142794,7698411-4,df51e03f-f757-495c-965...
438,9871876,4797842-2,a80b27d1-29c7-4841-8f34...
439,8810401,8810401-2,017e1c4b-0444-45cd-8ae3...
440,9609571,7190981-1,784bd297-e174-4b80-ab09...
441,9400563,6892220-2,c733d0ee-c009-49fa-a21c...
442,10007687,4847540-1,bdf5508a-45a6-4642-a5f...
443,8694445,8401981-1,44a43e0d-f423-4c58-8ab4...
444,8370350,7516142-1,0d186197-c7c5-4ad1-95e3...
445,9628843,5467273-2,b28c0abb-6406-4687-800a...
446,9633317,8660849-4,a80b27d1-29c7-4841-8f34...
447,9613505,8433013-1,b4b1fa78-ed88-4238-8f2e...
448,9278255,9135248-5,d4fd3b3c-e61a-466d-a4cd...
449,10075818,10075818-3,44a43e0d-f423-4c58-8a...
450,9698997,9698997-1,b2cea8a8-6eca-408f-8d17...
451,9013119,7510299-3,c9cb4897-1cc2-4d5f-9178...
