paperid	confid
2243662716	1163450153
2244265604	1163450153
2244428935	1163450153
2244483578	1163450153
2244508988	1163450153
2336371700	1163450153
2244624262	1163450153
2244786198	1163450153
2321239069	1163450153
2245049727	1163450153
2336913620	1163450153
2245122956	1163450153
2245250479	1163450153
2245348651	1163450153
2245413663	1163450153
2337450283	1163450153
2245578321	1163450153
2245584999	1163450153
2337539845	1163450153
2337630312	1163450153
2245820252	1163450153
2246380779	1163450153
2338582311	1163450153
2338846068	1163450153
2330983506	1163450153
2338946913	1163450153
2247051980	1163450153
2339233270	1163450153
2247131387	1163450153
2339324905	1163450153
2247217015	1163450153
2339558352	1163450153
2247550655	1163450153
95726111	1163450153
99352559	1163450153
99546413	1163450153
99965650	1163450153
100349434	1163450153
100915271	1163450153
101198059	1163450153
101454950	1163450153
101621173	1163450153
102505335	1163450153
103210198	1163450153
103596487	1163450153
103654857	1163450153
104254493	1163450153
105247317	1163450153
106601904	1163450153
107986336	1163450153
108436032	1163450153
108468898	1163450153
108536157	1163450153
109475531	1163450153
110333396	1163450153
110673302	1163450153
31669040	1163450153
2401992010	1163450153
2402021049	1163450153
2402038603	1163450153
2402069821	1163450153
2402095105	1163450153
2402110403	1163450153
32556570	1163450153
2402168680	1163450153
2402232136	1163450153
33011090	1163450153
2402245555	1163450153
2402253831	1163450153
2402279917	1163450153
2402350230	1163450153
2402379425	1163450153
33967157	1163450153
2402448694	1163450153
2402451329	1163450153
2402470565	1163450153
2402471978	1163450153
34182913	1163450153
2402577708	1163450153
2402582321	1163450153
2402610236	1163450153
2402642969	1163450153
2402649561	1163450153
2402656541	1163450153
2402656966	1163450153
2402659696	1163450153
2402713938	1163450153
35677263	1163450153
2402790201	1163450153
2402825495	1163450153
2402845272	1163450153
2402880877	1163450153
2402904651	1163450153
2402926652	1163450153
2402929775	1163450153
2402939184	1163450153
2402976668	1163450153
2403010436	1163450153
2412166786	1163450153
2403043020	1163450153
2403048769	1163450153
2403161075	1163450153
2403232321	1163450153
2403260819	1163450153
2403270622	1163450153
2403281182	1163450153
2403343111	1163450153
2403392837	1163450153
2403395451	1163450153
2403418776	1163450153
2403455801	1163450153
2403510326	1163450153
2403516514	1163450153
2403528767	1163450153
39309712	1163450153
2403538530	1163450153
2403583029	1163450153
2403622147	1163450153
2403652540	1163450153
2403712144	1163450153
2403762811	1163450153
2403799748	1163450153
2403823533	1163450153
40944875	1163450153
2403940793	1163450153
2403948324	1163450153
2403952997	1163450153
2403959797	1163450153
2403961113	1163450153
41409728	1163450153
2403972022	1163450153
2403972606	1163450153
2403986473	1163450153
41523798	1163450153
2404028076	1163450153
2404051271	1163450153
2404055023	1163450153
41902560	1163450153
2404075216	1163450153
2404084944	1163450153
2404105013	1163450153
2404128142	1163450153
2404167293	1163450153
2404208145	1163450153
2404215071	1163450153
2404225345	1163450153
43048699	1163450153
2404377639	1163450153
2404411786	1163450153
2404425257	1163450153
2404427926	1163450153
43654910	1163450153
2404471536	1163450153
43926682	1163450153
2404500466	1163450153
44032073	1163450153
2404511407	1163450153
2404569609	1163450153
2404573916	1163450153
2404594755	1163450153
2404627898	1163450153
2404646203	1163450153
2404675466	1163450153
44830800	1163450153
2404696582	1163450153
2404769241	1163450153
2404781118	1163450153
2404795908	1163450153
2404820979	1163450153
45642476	1163450153
2404851688	1163450153
2404856281	1163450153
2404879570	1163450153
2404879977	1163450153
2404891999	1163450153
2404916297	1163450153
2404929091	1163450153
2404945602	1163450153
2404963137	1163450153
2404987363	1163450153
2405022506	1163450153
2405023176	1163450153
2405031942	1163450153
2405042511	1163450153
2405087042	1163450153
46930313	1163450153
2405114316	1163450153
2405184512	1163450153
2405187615	1163450153
2405187948	1163450153
2405218802	1163450153
47479067	1163450153
47513853	1163450153
47648336	1163450153
2405262210	1163450153
2405268431	1163450153
2405357702	1163450153
2405404481	1163450153
2405412416	1163450153
2405428281	1163450153
2405450218	1163450153
2157109384	1163450153
2157171220	1163450153
2157178484	1163450153
2157186766	1163450153
2157219361	1163450153
2157219791	1163450153
2157273066	1163450153
2157300362	1163450153
2157301849	1163450153
2157320214	1163450153
2157368088	1163450153
2157376643	1163450153
2157392897	1163450153
2157397955	1163450153
2157409686	1163450153
2157428377	1163450153
2157433122	1163450153
2157507925	1163450153
2157539236	1163450153
2157545667	1163450153
2157556183	1163450153
2157567323	1163450153
2157570155	1163450153
2157574576	1163450153
2157598823	1163450153
2157611404	1163450153
2157635989	1163450153
2157679928	1163450153
2157681268	1163450153
2157707301	1163450153
2157708517	1163450153
2157753849	1163450153
2157760014	1163450153
2157771033	1163450153
