paper_id	conf_id
104141231	1195049314
1165823106	1195049314
123037820	1195049314
1239974197	1195049314
127599790	1195049314
129479801	1195049314
134934531	1195049314
13880341	1195049314
1483971465	1195049314
1489049736	1195049314
1489768987	1195049314
150511270	1195049314
1507889146	1195049314
1509314188	1195049314
1516704311	1195049314
1526508319	1195049314
1531620596	1195049314
1532369227	1195049314
1532431353	1195049314
154125449	1195049314
1546946424	1195049314
155043168	1195049314
1573845841	1195049314
1577401872	1195049314
158911963	1195049314
1595891490	1195049314
160108313	1195049314
1606600450	1195049314
1643739914	1195049314
1674092947	1195049314
169862718	1195049314
16995082	1195049314
1710653724	1195049314
1741207179	1195049314
1750583979	1195049314
1771814092	1195049314
1795341186	1195049314
1797935452	1195049314
1818399949	1195049314
1820635546	1195049314
1822534520	1195049314
1851557440	1195049314
190140147	1195049314
1924480381	1195049314
1929054994	1195049314
1932433406	1195049314
1933269230	1195049314
1949232578	1195049314
1963796315	1195049314
1963868955	1195049314
1963885459	1195049314
1963947067	1195049314
1964102455	1195049314
1964108021	1195049314
1964142081	1195049314
1964487074	1195049314
1964492603	1195049314
1964558458	1195049314
1964641564	1195049314
1964831508	1195049314
1964889320	1195049314
1964943134	1195049314
1965115311	1195049314
1965374734	1195049314
1965389729	1195049314
1965450400	1195049314
1965484706	1195049314
1965561489	1195049314
1965779990	1195049314
1965904009	1195049314
1966081597	1195049314
1966103652	1195049314
1966104470	1195049314
1966208549	1195049314
1966417345	1195049314
1966435515	1195049314
1966852018	1195049314
1967028800	1195049314
1967042038	1195049314
1967164904	1195049314
1967265071	1195049314
1967483856	1195049314
1967522049	1195049314
1967776900	1195049314
1968064228	1195049314
1968273235	1195049314
1968309743	1195049314
1968423587	1195049314
1968506297	1195049314
1968513469	1195049314
1968551343	1195049314
1968755386	1195049314
1968794558	1195049314
1968809565	1195049314
1969052573	1195049314
1969088462	1195049314
1969277770	1195049314
1969287811	1195049314
1969433651	1195049314
1969439151	1195049314
1969688826	1195049314
1969830854	1195049314
1969862674	1195049314
1969903632	1195049314
1970002980	1195049314
1970022914	1195049314
1970110819	1195049314
1970261132	1195049314
1970439492	1195049314
1970502174	1195049314
1970566030	1195049314
1970599816	1195049314
1970768240	1195049314
1970924458	1195049314
1970989086	1195049314
1971100852	1195049314
1971198197	1195049314
1971348553	1195049314
1971382282	1195049314
1971553215	1195049314
1971578604	1195049314
1971842265	1195049314
1971894322	1195049314
1972086184	1195049314
1972142468	1195049314
1972215950	1195049314
1972229318	1195049314
1972666063	1195049314
1972697014	1195049314
1972868357	1195049314
1972874214	1195049314
1972924609	1195049314
1972929146	1195049314
1973085417	1195049314
1973130006	1195049314
1973263916	1195049314
1973287123	1195049314
1973304785	1195049314
1973447178	1195049314
1973491470	1195049314
1973551833	1195049314
1973905217	1195049314
1974076088	1195049314
1974172447	1195049314
1974356113	1195049314
1974365149	1195049314
1974756000	1195049314
1974881102	1195049314
1974969414	1195049314
1975094859	1195049314
1975257416	1195049314
1975310639	1195049314
1975573541	1195049314
1975703212	1195049314
1975764828	1195049314
1975782063	1195049314
1975912940	1195049314
1976047113	1195049314
1976069032	1195049314
1976250043	1195049314
1976281637	1195049314
1976288485	1195049314
1976415944	1195049314
1976426554	1195049314
1976481168	1195049314
1976490692	1195049314
1976557352	1195049314
1976714590	1195049314
1976822601	1195049314
1976890371	1195049314
1976991136	1195049314
1977002531	1195049314
1977025605	1195049314
1977128447	1195049314
1977162763	1195049314
1977269531	1195049314
1977365870	1195049314
1977381223	1195049314
1977450543	1195049314
1977665993	1195049314
1977678635	1195049314
1977963381	1195049314
1978011634	1195049314
1978105543	1195049314
1978210790	1195049314
1978271023	1195049314
1978300749	1195049314
1978409809	1195049314
1978439400	1195049314
1978455057	1195049314
1978483322	1195049314
1978642329	1195049314
1978657678	1195049314
1978679019	1195049314
1978752833	1195049314
1979048291	1195049314
1979084209	1195049314
1979250319	1195049314
